YEAR,unit,n,w,k,ys
1976,1,NA,NA,NA,NA
1977,1,1.6176044532,2.5765434154,-0.5286502198,4.5612935213
1978,1,1.7227665807,2.5097455748,-0.4591823971,4.5783836392
1979,1,1.6124333948,2.55252639,-0.3899363024,4.601245487
1980,1,1.5507489484,2.6249511439,-0.482724193,4.610656133
1981,1,1.4092781817,2.6595389668,-0.6780615245,4.6007413716
1982,1,1.1524689265,2.6992179895,-0.8606195551,4.5912243639
1983,1,1.0770481478,2.6231021791,-0.9364934653,4.6054711203
1984,1,NA,NA,NA,NA
1976,2,NA,NA,NA,NA
1977,2,4.267162775,2.6940121424,2.8294592638,4.5612935213
1978,2,4.2576389923,2.6464300519,2.8473599167,4.5783836392
1979,2,4.2615242697,2.7049386759,2.8645580902,4.601245487
1980,2,4.2770965573,2.7402592215,2.8711549664,4.610656133
1981,2,4.2998535749,2.7848198297,2.8162048518,4.6007413716
1982,2,4.2824686782,2.7807676308,2.7879021557,4.5912243639
1983,2,4.2270964515,2.7914779109,2.8547215688,4.6054711203
1984,2,NA,NA,NA,NA
1976,3,NA,NA,NA,NA
1977,3,2.9526159896,3.1220124146,1.9597425879,4.5612935213
1978,3,2.9673328265,3.0298341372,1.9382955012,4.5783836392
1979,3,2.9907197126,3.0542275547,1.9251971292,4.601245487
1980,3,3.0076608331,3.0999571673,1.8953233422,4.610656133
1981,3,2.9739977658,3.2137185825,1.8267404637,4.6007413716
1982,3,2.8972922007,3.2126444445,1.7430243186,4.5912243639
1983,3,2.8243506794,3.3641079813,1.9937611065,4.6054711203
1984,3,NA,NA,NA,NA
1976,4,NA,NA,NA,NA
1977,4,3.2642315208,2.6965375492,2.1389125622,4.7725667307
1978,4,3.2861605631,2.6971847292,2.1681389537,4.7887833913
1979,4,3.3061538581,2.6997222774,2.2177785714,4.7777099024
1980,4,3.3261145728,2.7234772613,2.2410925669,4.717752138
1981,4,3.3020766405,2.8479801972,2.1853656392,4.5804060796
1982,4,3.1988363577,2.9608405481,2.1271001216,4.5239405687
1983,4,3.1162670874,2.9960072754,2.0062120403,4.5261713338
1984,4,NA,NA,NA,NA
1976,5,4.4621885885,3.026857781,3.1081855626,4.5528142352
1977,5,4.4670568663,2.9057091011,3.1032539482,4.56958238
1978,5,4.4659081187,2.8979485342,3.2255336053,4.5932625652
1979,5,4.5042442843,2.9008500017,3.2328378824,4.6099935112
1980,5,4.4908810054,2.9595505856,3.3407181965,4.6063924307
1981,5,4.4152195651,2.9869033973,3.2502155779,4.5903306266
1982,5,4.3000027578,2.9646182379,3.0139699128,4.6002410656
1983,5,NA,NA,NA,NA
1984,5,NA,NA,NA,NA
1976,6,-0.2903522666,3.1436737156,-1.7754924582,4.6325168335
1977,6,-0.2665731447,3.0223401688,-1.8213942923,4.6730811431
1978,6,-0.2718086914,3.0415991081,-1.8977868454,4.6883967658
1979,6,-0.3160815849,3.0801928976,-1.9255194973,4.7106017288
1980,6,-0.3133418108,3.1557528053,-1.9186841867,4.6242519497
1981,6,-0.2497442533,3.1832569486,-1.9575779114,4.6001285064
1982,6,-0.2459005317,3.227101862,-2.0706800065,4.5982493193
1983,6,NA,NA,NA,NA
1984,6,NA,NA,NA,NA
1976,7,0.4700036441,3.4291788657,-0.0066218988,4.6517331403
1977,7,0.5007752735,3.3518320628,-0.069350048,4.6772964388
1978,7,0.5187937622,3.3965265195,-0.0356272048,4.6906026537
1979,7,0.5187937622,3.4206535221,-0.0378057325,4.714554471
1980,7,0.5068175823,3.3137713652,-0.0807763125,4.605170186
1981,7,0.4446857846,3.4495683863,-0.0008003337,4.5991168981
1982,7,0.4317823917,3.468008309,-0.1276060923,4.5980760666
1983,7,NA,NA,NA,NA
1984,7,NA,NA,NA,NA
1976,8,2.2132073319,3.4310441459,1.5148195366,4.6517331403
1977,8,2.3846257612,3.1973620267,1.5302648318,4.6772964388
1978,8,2.3748126894,3.3341953658,1.6168702461,4.6906026537
1979,8,2.3941610031,3.358446417,1.5840791201,4.714554471
1980,8,2.3700568038,3.3493916489,1.1700333269,4.605170186
