wage,nearc4,educ,age,black,smsa,south,exper
548,0,7,29,1,1,0,16
481,0,12,27,0,1,0,9
721,0,12,34,0,1,0,16
250,1,11,27,0,1,0,10
729,1,12,34,0,1,0,16
500,1,12,26,0,1,0,8
565,1,18,33,0,1,0,9
608,1,14,29,0,1,0,9
425,1,12,28,0,1,0,10
515,1,12,29,0,1,0,11
225,1,9,28,0,1,0,13
400,1,12,26,0,1,0,8
417,1,11,24,0,1,0,7
217,1,11,30,0,1,0,13
894,1,16,31,1,1,0,9
300,1,14,24,0,1,0,4
346,1,12,34,0,1,0,16
658,1,14,29,0,1,0,9
575,1,10,26,0,1,0,10
649,1,12,32,0,1,0,14
944,1,18,32,0,1,1,8
614,1,18,34,0,1,0,10
726,1,15,32,0,0,0,11
604,1,12,28,0,1,0,10
693,1,12,32,0,1,0,14
1400,1,18,34,0,0,0,10
300,1,12,26,0,1,0,8
1800,1,18,32,0,1,0,8
413,1,12,25,0,1,0,7
632,1,14,29,0,0,0,9
208,1,12,25,0,1,0,7
457,1,12,25,1,1,0,7
824,1,16,24,0,1,0,2
577,1,18,34,0,1,0,10
255,1,11,28,0,1,0,11
962,1,16,30,0,1,0,8
944,1,10,31,0,1,0,15
1146,1,18,34,0,1,0,10
324,1,6,27,0,1,0,15
235,1,11,24,1,1,0,7
1000,1,12,34,0,1,0,16
481,1,9,26,0,1,0,11
624,1,15,32,0,1,0,11
650,1,11,34,0,1,0,17
344,1,12,24,1,1,0,6
380,1,16,24,0,1,1,2
353,1,12,24,0,1,0,6
659,1,13,25,0,1,0,6
621,1,17,28,0,1,0,5
440,1,12,25,0,1,0,7
738,1,12,26,1,1,0,8
280,1,11,31,1,0,1,14
434,1,10,24,0,1,0,8
705,1,12,27,0,1,0,9
425,1,12,27,0,1,0,9
571,1,12,24,0,1,0,6
538,1,16,30,0,1,0,8
740,1,16,32,0,1,0,10
673,1,13,32,0,1,0,13
769,1,12,34,0,1,0,16
592,1,12,24,0,1,0,6
213,1,9,24,1,1,0,9
1563,1,16,34,0,1,0,12
774,1,16,28,0,1,0,6
600,1,12,26,0,1,1,8
693,1,18,24,0,1,0,0
570,1,13,31,0,1,0,12
433,1,14,28,0,1,0,8
538,1,15,28,0,1,0,7
627,1,12,25,0,1,0,7
481,1,8,31,0,1,0,17
545,1,12,26,0,1,0,8
576,1,12,25,0,1,0,7
700,1,16,25,0,1,0,3
788,1,16,28,0,1,0,6
1012,1,17,27,0,1,0,4
758,1,12,24,0,1,0,6
601,1,14,29,0,1,0,9
283,1,12,24,0,1,0,6
250,1,12,24,0,1,0,6
500,1,12,26,0,1,0,8
550,1,11,31,0,1,0,14
1143,1,12,25,0,1,0,7
810,1,18,31,0,1,1,7
313,1,12,28,1,1,0,10
731,1,18,25,0,1,0,1
625,1,16,25,0,1,0,3
588,1,14,24,0,1,0,4
375,1,14,26,0,1,0,6
817,1,16,29,0,1,1,7
865,1,14,30,0,1,0,10
350,1,15,28,0,1,1,7
202,1,13,24,0,1,1,5
505,1,13,32,0,1,1,13
816,1,17,30,0,1,0,7
625,1,18,26,0,1,0,2
769,1,18,32,0,1,0,8
500,1,17,27,0,1,0,4
619,1,17,27,0,1,0,4
650,1,12,30,0,1,0,12
769,1,18,28,0,1,0,4
512,1,12,26,0,1,0,8
625,1,18,31,0,1,0,7
1111,1,14,31,0,1,0,11
721,1,13,28,0,1,0,9
1154,1,14,32,0,1,0,12
827,1,18,34,0,0,0,10
923,1,16,34,0,1,0,12
1076,1,17,28,0,1,0,5
625,1,12,33,0,1,0,15
460,1,13,27,0,1,0,8
900,1,14,24,1,1,0,4
682,1,18,29,0,1,0,5
411,1,12,24,0,1,0,6
625,1,13,27,0,1,0,8
1005,1,18,32,0,1,0,8
725,1,11,24,0,1,0,7
750,1,15,27,0,1,0,6
529,1,14,29,0,1,0,9
972,1,17,29,0,1,0,6
472,1,12,26,0,0,0,8
325,1,12,24,0,1,0,6
875,1,12,34,0,1,0,16
625,1,13,34,0,1,0,15
337,1,12,26,0,1,0,8
481,1,16,27,0,1,0,5
650,1,9,29,0,1,0,14
383,1,16,25,0,1,0,3
962,1,18,30,0,1,0,6
615,1,16,29,0,0,0,7
702,1,14,28,0,1,0,8
635,1,14,31,0,1,0,11
200,1,12,28,0,1,0,10
817,1,12,27,0,1,0,9
577,1,14,26,0,1,0,6
466,1,17,26,0,1,0,3
924,1,16,29,0,1,0,7
793,1,16,31,0,1,1,9
635,1,14,28,0,1,0,8
570,1,12,25,0,1,0,7
705,1,16,29,0,1,0,7
635,1,14,28,0,1,0,8
694,1,12,30,0,1,0,12
615,1,13,34,0,1,0,15
462,1,16,26,0,1,0,4
865,1,12,34,0,1,0,16
737,1,18,33,0,1,1,9
1400,1,12,25,0,1,0,7
808,1,12,31,0,1,0,13
654,1,16,26,0,1,0,4
300,1,12,25,0,1,0,7
577,1,16,30,0,1,0,8
265,1,16,24,0,1,0,2
594,1,18,31,0,0,0,7
325,1,17,26,0,1,0,3
385,1,16,24,0,0,0,2
1000,1,18,25,0,1,0,1
465,1,18,28,0,1,0,4
440,1,16,28,0,1,0,6
625,1,16,27,0,1,0,5
285,1,17,27,0,1,0,4
650,1,14,27,0,1,0,7
808,1,13,25,0,1,0,6
500,1,12,24,0,1,0,6
831,1,16,26,0,1,0,4
500,1,12,31,0,1,0,13
693,1,17,32,0,1,0,9
1100,1,12,27,0,1,0,9
763,1,12,25,0,1,0,7
795,1,12,27,0,1,0,9
333,1,16,25,0,1,0,3
409,1,18,30,0,1,0,6
865,1,16,27,0,1,0,5
888,1,12,31,0,1,0,13
673,1,12,34,0,1,0,16
700,1,12,33,0,0,0,15
250,1,18,33,0,1,1,9
625,1,11,27,0,1,0,10
417,1,13,31,0,1,0,12
576,1,13,28,0,1,0,9
613,1,12,26,1,1,0,8
700,1,12,31,0,1,0,13
450,1,12,24,0,1,0,6
500,1,16,28,0,1,0,6
514,1,12,25,0,0,0,7
250,1,16,25,0,1,0,3
315,1,12,24,0,0,0,6
375,1,12,29,0,1,0,11
457,1,15,34,0,0,0,13
275,1,12,27,1,1,0,9
951,1,12,28,0,1,0,10
1115,1,16,32,0,1,0,10
289,1,16,25,0,0,0,3
500,1,16,25,0,1,0,3
726,1,18,32,0,1,0,8
1265,1,18,29,0,1,0,5
613,1,17,26,1,1,0,3
545,1,12,28,0,1,0,10
278,1,13,28,0,1,0,9
1442,1,18,34,0,1,0,10
995,1,16,27,0,1,0,5
700,1,12,29,0,1,0,11
577,1,16,28,0,1,0,6
858,1,16,31,0,1,0,9
686,1,12,28,0,1,0,10
832,1,15,31,0,1,0,10
633,1,13,33,0,1,0,14
689,1,12,32,0,1,0,14
769,1,14,30,0,1,0,10
385,1,15,27,0,1,0,6
450,1,12,24,0,1,0,6
615,1,12,27,0,1,0,9
682,1,12,34,0,1,0,16
670,1,10,32,0,1,0,16
800,1,11,33,0,1,0,16
505,1,14,34,0,1,0,14
1026,1,18,30,0,1,0,6
769,1,15,25,0,1,0,4
290,1,10,32,0,1,1,16
529,1,13,28,0,1,0,9
1154,1,16,29,0,1,0,7
549,1,10,29,0,1,0,13
475,1,12,26,0,1,0,8
450,1,12,26,0,1,0,8
875,1,17,27,0,1,0,4
200,1,15,25,0,1,0,4
300,1,13,26,0,0,0,7
462,1,16,25,0,0,0,3
385,1,12,30,0,1,0,12
1282,1,15,32,0,1,0,11
588,1,16,25,0,1,0,3
600,1,12,27,0,1,0,9
500,1,16,30,0,1,0,8
440,1,12,33,1,1,0,15
467,1,18,26,0,1,1,2
929,1,17,29,0,1,0,6
556,1,16,27,0,1,0,5
438,1,13,24,0,1,0,5
600,1,12,29,1,1,0,11
575,1,12,26,1,1,0,8
389,1,12,26,1,1,0,8
795,1,12,34,0,0,0,16
471,1,18,27,0,1,0,3
202,1,17,26,0,1,0,3
200,1,17,24,0,1,0,1
350,1,17,24,0,1,0,1
375,1,14,24,0,0,0,4
481,1,16,25,0,1,0,3
962,1,18,31,0,1,0,7
423,1,15,27,0,1,0,6
500,1,15,27,0,1,0,6
450,1,9,30,0,1,0,15
476,1,8,28,0,1,0,14
136,1,12,24,0,1,0,6
575,1,12,32,0,1,0,14
577,1,12,33,0,1,0,15
310,1,12,31,0,1,0,13
700,1,9,30,0,1,0,15
1322,1,14,32,0,1,0,12
551,1,10,34,0,1,0,18
881,1,17,30,0,1,0,7
760,1,12,25,0,1,0,7
708,1,12,32,0,1,0,14
425,1,12,26,0,1,0,8
427,1,12,26,0,1,0,8
576,1,16,24,0,1,0,2
400,1,9,32,0,1,0,17
500,1,12,31,0,0,0,13
531,1,12,28,0,0,0,10
673,1,16,28,0,1,0,6
577,1,16,27,0,1,1,5
325,1,16,24,0,1,0,2
500,1,11,29,0,0,0,12
770,1,12,25,0,0,0,7
500,1,12,26,0,1,0,8
391,1,16,28,0,1,0,6
810,1,12,34,0,1,0,16
543,1,9,34,1,0,0,19
593,1,9,34,1,0,0,19
864,1,17,25,0,1,0,2
700,1,10,28,1,0,0,12
510,1,12,25,0,0,0,7
615,1,13,34,0,1,0,15
761,1,14,29,0,1,0,9
493,1,10,31,0,1,0,15
445,1,16,24,0,1,0,2
425,1,12,25,0,1,0,7
750,1,16,24,0,1,0,2
700,1,16,24,0,1,0,2
438,1,12,24,0,1,0,6
608,1,12,29,0,1,0,11
450,1,13,24,0,1,0,5
313,1,3,26,0,1,0,17
250,1,7,33,1,1,0,20
500,1,14,33,0,1,0,13
365,0,12,26,0,1,0,8
813,0,12,26,0,1,0,8
326,0,12,25,0,0,0,7
524,0,12,29,0,0,0,11
815,0,13,28,0,1,0,9
750,0,12,28,0,1,0,10
525,0,17,24,0,1,0,1
1125,0,12,32,0,1,0,14
625,0,12,28,0,1,0,10
715,0,14,25,0,1,0,5
591,0,12,31,0,0,0,13
404,0,17,27,0,1,0,4
675,1,12,28,0,1,0,10
444,1,12,25,0,1,0,7
488,1,12,24,0,1,0,6
695,1,9,34,0,1,0,19
700,1,12,25,0,1,1,7
325,1,12,24,0,1,1,6
556,1,9,25,0,1,0,10
325,1,12,26,0,1,0,8
668,1,13,26,0,1,0,7
2404,1,18,31,0,1,0,7
758,1,16,25,0,1,0,3
986,1,16,34,0,1,0,12
577,1,12,25,0,1,0,7
286,1,17,29,0,0,0,6
231,1,14,28,0,1,1,8
513,1,12,25,0,1,0,7
615,1,15,28,0,1,0,7
