obs consrat ewr vwr
1959M02 1.0033195726 1.0265263624 1.0102646596
1959M03 1.0089919746 1.0122394911 1.0043398108
1959M04 0.9941197515 1.0254834238 1.0390440013
1959M05 1.0113701971 1.0065204258 1.0189572469
1959M06 1.0019745527 1.0019052047 0.9986206849
1959M07 0.9976542815 1.0287452583 1.0328696185
1959M08 1.0021030524 0.9828028119 0.9862603179
1959M09 1.0057581080 0.9507846047 0.9519306098
1959M10 1.0005629899 1.0213971015 1.0134772207
1959M11 0.9992096086 1.0152054375 1.0185585454
1959M12 1.0043353825 1.0201096756 1.0278690778
1960M01 1.0003656268 0.9618194837 0.9336214389
1960M02 0.9954257274 1.0075390656 1.0118845299
1960M03 1.0077315032 0.9731068334 0.9854151335
1960M04 1.0100537867 0.9751604093 0.9788709277
1960M05 0.9885537077 1.0260906906 1.0340516313
1960M06 1.0020726602 1.0201265234 1.0218863955
1960M07 0.9992672976 0.9793898474 0.9767018082
1960M08 0.9945982421 1.0334237104 1.0285239801
1960M09 0.9983082974 0.9398318987 0.9405388673
1960M10 1.0053821863 0.9750799676 0.9934466698
1960M11 1.0009856105 1.0438010196 1.0451424444
1960M12 0.9939636634 1.0371123841 1.0477995543
1961M01 1.0038113795 1.0816846523 1.0637762970
1961M02 1.0022172870 1.0585321234 1.0358017449
1961M03 1.0084159449 1.0509648969 1.0314631940
1961M04 1.0014950248 1.0109465626 1.0073791439
1961M05 1.0038203155 1.0417975257 1.0259370610
1961M06 1.0008300060 0.9577256662 0.9716242432
1961M07 0.9948490917 1.0096589653 1.0287802847
1961M08 1.0012461794 1.0201350714 1.0261352959
1961M09 1.0041967982 0.9693724392 0.9803846971
1961M10 1.0035375018 1.0212261112 1.0272258228
1961M11 1.0055040930 1.0456401048 1.0454112492
1961M12 1.0033849578 0.9965737072 1.0007540752
1962M01 0.9999179419 0.9919503711 0.9635128613
1962M02 0.9989386798 1.0125641453 1.0161429667
1962M03 1.0060382670 0.9924758227 0.9927623651
1962M04 1.0022511643 0.9304032357 0.9357124378
