MEPS data, 1996, complete data set statistics
4564 observations
            mean    st. dev.         min         max  
OBDV       3.279       6.171       0.000     133.000
OPV        0.260       1.962       0.000      78.000
IPV        0.194       0.637       0.000      17.000
ERV        0.086       0.389       0.000       5.000
DV         1.054       1.875       0.000      32.000
RX         8.384      18.852       0.000     316.000
PUB        0.141       0.334       0.000       1.000
PRIV       0.674       0.449       0.000       1.000
SEX        0.517       0.500       0.000       1.000
AGE       39.354      12.198      18.000      65.000
EDUC      12.652       2.896       0.000      17.000
INC    42803.630   34108.362       0.000  250463.330

