lnwage,educ,exper,expsq,black,south,smsa,age,agesq,nearc4
6.3063,7,16,2.56,1,0,1,29,841,0
6.1759,12,9,0.81,0,0,1,27,729,0
6.5806,12,16,2.56,0,0,1,34,1156,0
5.5215,11,10,1.0,0,0,1,27,729,1
6.5917,12,16,2.56,0,0,1,34,1156,1
6.2146,12,8,0.64,0,0,1,26,676,1
6.3368,18,9,0.81,0,0,1,33,1089,1
6.4102,14,9,0.81,0,0,1,29,841,1
6.0521,12,10,1.0,0,0,1,28,784,1
6.2442,12,11,1.21,0,0,1,29,841,1
5.4161,9,13,1.69,0,0,1,28,784,1
5.9915,12,8,0.64,0,0,1,26,676,1
6.0331,11,7,0.49,0,0,1,24,576,1
5.3799,11,13,1.69,0,0,1,30,900,1
6.7957,16,9,0.81,1,0,1,31,961,1
5.7038,14,4,0.16,0,0,1,24,576,1
5.8464,12,16,2.56,0,0,1,34,1156,1
6.4892,14,9,0.81,0,0,1,29,841,1
6.3544,10,10,1.0,0,0,1,26,676,1
6.4754,12,14,1.96,0,0,1,32,1024,1
6.8501,18,8,0.64,0,1,1,32,1024,1
6.42,18,10,1.0,0,0,1,34,1156,1
6.5876,15,11,1.21,0,0,0,32,1024,1
6.4036,12,10,1.0,0,0,1,28,784,1
6.541,12,14,1.96,0,0,1,32,1024,1
7.2442,18,10,1.0,0,0,0,34,1156,1
5.7038,12,8,0.64,0,0,1,26,676,1
7.4955,18,8,0.64,0,0,1,32,1024,1
6.0234,12,7,0.49,0,0,1,25,625,1
6.4489,14,9,0.81,0,0,0,29,841,1
5.3375,12,7,0.49,0,0,1,25,625,1
6.1247,12,7,0.49,1,0,1,25,625,1
6.7142,16,2,0.04,0,0,1,24,576,1
6.3578,18,10,1.0,0,0,1,34,1156,1
5.5413,11,11,1.21,0,0,1,28,784,1
6.869,16,8,0.64,0,0,1,30,900,1
6.8501,10,15,2.25,0,0,1,31,961,1
7.044,18,10,1.0,0,0,1,34,1156,1
5.7807,6,15,2.25,0,0,1,27,729,1
5.4596,11,7,0.49,1,0,1,24,576,1
6.9078,12,16,2.56,0,0,1,34,1156,1
6.1759,9,11,1.21,0,0,1,26,676,1
6.4362,15,11,1.21,0,0,1,32,1024,1
6.477,11,17,2.89,0,0,1,34,1156,1
5.8406,12,6,0.36,1,0,1,24,576,1
5.9402,16,2,0.04,0,1,1,24,576,1
5.8665,12,6,0.36,0,0,1,24,576,1
6.4907,13,6,0.36,0,0,1,25,625,1
6.4313,17,5,0.25,0,0,1,28,784,1
6.0868,12,7,0.49,0,0,1,25,625,1
6.6039,12,8,0.64,1,0,1,26,676,1
5.6348,11,14,1.96,1,1,0,31,961,1
6.073,10,8,0.64,0,0,1,24,576,1
6.5582,12,9,0.81,0,0,1,27,729,1
